iter	Passed	Remaining
0	58	58489
1	59	29501
2	59	19863
3	60	15008
4	60	12095
5	61	10146
6	61	8747
7	62	7698
8	62	6889
9	63	6240
10	63	5705
11	63	5261
12	64	4886
13	64	4567
14	65	4287
15	65	4042
16	66	3825
17	66	3629
18	66	3456
19	67	3304
20	67	3168
21	68	3039
22	68	2923
23	69	2816
24	69	2717
25	70	2624
26	70	2538
27	70	2458
28	71	2384
29	72	2328
30	72	2265
31	72	2207
32	73	2150
33	73	2099
34	74	2048
35	74	2001
36	75	1955
37	75	1916
38	76	1880
39	76	1842
40	77	1805
41	77	1770
42	78	1737
43	78	1707
44	78	1676
45	79	1646
46	79	1619
47	80	1593
48	80	1567
49	81	1544
50	81	1519
51	82	1497
52	82	1474
53	83	1454
54	83	1434
55	83	1414
56	84	1394
57	84	1377
58	85	1358
59	85	1343
60	86	1326
61	86	1309
62	86	1293
63	87	1280
64	88	1266
65	88	1254
66	89	1241
67	89	1227
68	90	1214
69	90	1201
70	91	1191
71	91	1181
72	92	1169
73	92	1158
74	92	1146
75	93	1135
76	93	1125
77	94	1114
78	94	1103
79	95	1093
80	95	1084
81	95	1073
82	96	1061
83	96	1052
84	96	1042
85	97	1034
86	97	1025
87	98	1016
88	98	1008
89	98	1000
90	99	991
91	99	984
92	100	976
93	100	969
94	101	962
95	101	955
96	101	947
97	102	941
98	102	935
99	103	930
100	103	923
101	104	918
102	104	913
103	105	906
104	105	900
105	106	895
106	106	890
107	107	885
108	107	880
109	108	875
110	108	870
111	109	864
112	109	859
113	109	854
114	110	848
115	110	843
116	111	837
117	111	832
118	111	828
119	112	823
120	112	818
121	113	813
122	113	809
123	113	805
124	114	800
125	114	796
126	115	791
127	115	787
128	116	784
129	116	779
130	116	775
131	117	772
132	117	768
133	118	764
134	118	761
135	119	756
136	119	753
137	120	750
138	120	746
139	121	743
140	121	739
141	121	734
142	122	732
143	122	728
144	123	726
145	123	723
146	124	720
147	124	717
148	125	714
149	125	711
150	125	708
151	126	704
152	126	702
153	127	698
154	127	695
155	128	693
156	128	690
157	128	686
158	129	683
159	129	680
160	129	676
161	130	673
162	130	671
163	131	668
164	131	666
165	132	664
166	132	662
167	133	659
168	133	657
169	134	655
170	134	653
171	135	650
172	135	648
173	136	645
174	136	643
175	136	641
176	137	638
177	137	636
